Suburb,Address,Rooms,Type,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Price
Richmond,318/185 Lennox St,2,u,PI,hockingstuart,04/03/2017 0:00,2.6,3121,2,1,1,1725,69,2005,Yarra,-37.8174,144.9949,655000
Richmond,10/8 Hull St,2,u,SP,Jellis,14/05/2016 0:00,2.6,3121,2,1,2,0,69,2000,Yarra,-37.8173,144.9965,640000
Richmond,28/8 Hull St,2,u,PI,Biggin,11/02/2017 0:00,2.6,3121,2,1,1,0,66,2000,Yarra,-37.8173,144.9965,450000
Hawthorn,44 College St,3,h,S,Nelson,08/10/2016 0:00,4.6,3122,3,1,0,232,90,1900,Boroondara,-37.8173,145.0252,1300000
Hawthorn,24 College St,3,h,S,Jellis,24/09/2016 0:00,4.6,3122,3,1,1,199,103,1890,Boroondara,-37.8172,145.0243,1551000
Richmond,143 Burnley St,2,h,PI,hockingstuart,14/05/2016 0:00,2.6,3121,2,1,1,151,76,1900,Yarra,-37.8171,145.009,777500
Richmond,33a River St,4,h,S,hockingstuart,06/08/2016 0:00,2.6,3121,4,2,2,58,158,2007,Yarra,-37.817,145.0135,1375000
Hawthorn,59 Mason St,3,h,S,Jellis,25/02/2017 0:00,4.6,3122,3,2,0,249,171,1890,Boroondara,-37.8169,145.021,2410000
Hawthorn,1 College St,3,h,PI,Jellis,18/03/2017 0:00,4.6,3122,3,2,0,198,148,1910,Boroondara,-37.8169,145.0234,1560000
Melbourne,303/166 Flinders St,1,u,S,Harcourts,22/08/2016 0:00,2.8,3000,1,1,1,0,65,1920,Melbourne,-37.8168,144.9691,440000
Richmond,30 Cameron St,3,h,SP,Marshall,07/11/2016 0:00,2.6,3121,3,1,0,238,94,1900,Yarra,-37.8167,144.9977,1474000
Richmond,32 Cameron St,3,h,S,Marshall,07/11/2016 0:00,2.6,3121,3,1,0,250,115,1900,Yarra,-37.8167,144.9978,1555000
Richmond,207/12 Coppin St,2,u,PI,Jellis,19/11/2016 0:00,2.6,3121,2,2,1,0,76,2013,Yarra,-37.8166,145.0036,660000
Richmond,41 Cameron St,3,h,S,RT,24/09/2016 0:00,2.6,3121,3,2,2,171,118,1890,Yarra,-37.8166,144.9987,1320000
Melbourne,507/325 Collins St,2,u,S,MICM,24/09/2016 0:00,2.8,3000,2,2,1,0,94,1965,Melbourne,-37.8166,144.9635,733000
Richmond,81 Erin St,3,h,S,Biggin,03/09/2016 0:00,2.6,3121,2,1,0,203,81,1900,Yarra,-37.8166,144.9945,1260000
Hawthorn,3 Randolph St,3,h,S,Jellis,12/06/2016 0:00,4.6,3122,3,1,1,351,150,1910,Boroondara,-37.8165,145.021,2065000
Richmond,6/25 River St,2,u,S,hockingstuart,03/09/2016 0:00,2.6,3121,2,1,2,0,85,1997,Yarra,-37.8164,145.0136,795250
Melbourne,208/108 Flinders St,1,u,PI,LITTLE,15/10/2016 0:00,2.8,3000,1,1,0,1414,47,2014,Melbourne,-37.8161,144.9712,375000
Melbourne,1001/639 Little Bourke St,2,u,VB,Greg,18/03/2017 0:00,2.8,3000,2,1,2,0,55,1917,Melbourne,-37.816,144.9535,470000
Hawthorn,37 Brook St,3,h,PI,Jellis,28/08/2016 0:00,4.6,3122,3,2,1,164,126,1890,Boroondara,-37.8159,145.0219,1400000
Richmond,7 Bowen St,3,h,S,Biggin,19/11/2016 0:00,2.6,3121,3,2,1,217,180,1910,Yarra,-37.8158,144.9931,2000000
Richmond,78 Davison St,5,h,SP,Jellis,04/03/2017 0:00,2.6,3121,5,3,3,618,260,1890,Yarra,-37.8157,145.0073,3200000
Hawthorn,3/32 Power St,2,u,S,Kay,28/05/2016 0:00,4.6,3122,2,1,1,0,85,1970,Boroondara,-37.8157,145.0273,495000
Melbourne,32/2 Exhibition St,1,u,VB,Castran,19/11/2016 0:00,2.8,3000,1,1,1,0,64,1920,Melbourne,-37.8157,144.9727,700000
Melbourne,49/2 Exhibition St,1,u,S,Harcourts,10/09/2016 0:00,2.8,3000,1,1,1,0,59,2006,Melbourne,-37.8157,144.9727,659000
Hawthorn,7/6 Osborne Ct,1,u,PI,Biggin,15/10/2016 0:00,4.6,3122,1,1,1,0,41,1950,Boroondara,-37.8155,145.0161,400000
Hawthorn,7 Brook St,3,h,S,Nelson,06/08/2016 0:00,4.6,3122,3,2,1,460,176,1940,Boroondara,-37.8155,145.019,2000000
East Melbourne,1/187 George St,2,u,PI,Harcourts,22/08/2016 0:00,1.5,3002,2,2,1,0,65,1970,Melbourne,-37.8153,144.9842,700000
Hawthorn,11/70 Church St,3,u,S,Jellis,18/03/2017 0:00,4.6,3122,3,1,1,0,75,1970,Boroondara,-37.8153,145.021,630000
Richmond,30 Highett St,4,h,S,Biggin,16/04/2016 0:00,2.6,3121,2,3,1,544,241,1920,Yarra,-37.8152,144.9922,3001000
Richmond,2/175 Kent St,2,t,S,Jellis,10/09/2016 0:00,2.6,3121,2,1,1,92,115,1970,Yarra,-37.815,145.008,855000
Richmond,36/86 Burnley St,2,u,SP,Jellis,06/08/2016 0:00,2.6,3121,2,1,2,0,68,2000,Yarra,-37.815,145.0089,550000
Richmond,176 Buckingham St,4,h,S,Biggin,22/08/2016 0:00,2.6,3121,4,2,1,249,214,1970,Yarra,-37.8147,145.0084,1645000
Hawthorn,8/1 Muir St,3,u,PI,Kay,10/09/2016 0:00,4.6,3122,3,3,2,0,145,1999,Boroondara,-37.8144,145.0153,1000000
Hawthorn,23 Edgerton St,4,h,S,Kay,17/09/2016 0:00,4.6,3122,4,2,1,218,173,1890,Boroondara,-37.8142,145.0252,1936000
Hawthorn,10 Oak St,4,h,S,Jellis,13/08/2016 0:00,4.6,3122,4,2,2,665,220,1890,Boroondara,-37.814,145.0175,3225000
Hawthorn,16 Pine St,3,h,S,Marshall,12/11/2016 0:00,4.6,3122,3,1,1,342,130,1900,Boroondara,-37.814,145.0212,1712000
Richmond,4a Gardner St,2,t,S,hockingstuart,15/10/2016 0:00,2.6,3121,2,1,1,126,115,1995,Yarra,-37.814,145.006,1081000
Richmond,38a Buckingham St,2,t,S,Jellis,14/05/2016 0:00,2.6,3121,2,1,1,97,85,2004,Yarra,-37.814,145.002,930000
Richmond,77 Buckingham St,3,h,S,Biggin,14/05/2016 0:00,2.6,3121,3,1,1,199,110,1920,Yarra,-37.8139,145.0039,1182000
Richmond,18 Buckingham St,3,h,S,Biggin,17/09/2016 0:00,2.6,3121,3,3,1,58,60,2009,Yarra,-37.8139,145.0012,900000
Richmond,25 Egan St,3,h,S,Marshall,12/11/2016 0:00,2.6,3121,3,1,0,245,140,1900,Yarra,-37.8138,144.9921,1074000
Melbourne,405/270 King St,2,u,VB,LITTLE,07/11/2016 0:00,2.8,3000,2,1,0,0,66,1974,Melbourne,-37.8138,144.9548,360000
East Melbourne,7/45 Gipps St,1,u,SP,Caine,28/05/2016 0:00,1.5,3002,2,1,0,0,46,1930,Melbourne,-37.8136,144.9892,750000
Richmond,6 Kennedy St,3,h,S,Nelson,17/09/2016 0:00,2.6,3121,3,1,1,301,110,1935,Yarra,-37.8134,145.0055,1365000
Richmond,40 York St,3,h,VB,Jellis,18/03/2017 0:00,2.6,3121,3,2,1,131,76,1900,Yarra,-37.8132,144.9929,1550000
Melbourne,33/300 King St,1,u,S,MICM,17/09/2016 0:00,2.8,3000,1,1,2,0,102,1965,Melbourne,-37.8132,144.9545,680000
Richmond,31 Johnson St,3,h,PI,Peter,07/05/2016 0:00,2.6,3121,3,1,2,332,116,1940,Yarra,-37.8131,145.005,1350000
Hawthorn,5/40 Barkers Rd,2,u,VB,hockingstuart,22/05/2016 0:00,4.6,3122,2,1,1,0,70,1970,Boroondara,-37.813,145.0207,470000
Hawthorn,8B Myrtle St,2,t,S,Jellis,27/11/2016 0:00,4.6,3122,2,2,1,191,151,1975,Boroondara,-37.813,145.0167,1055000
Richmond,20 Lincoln St,4,h,S,Kay,30/07/2016 0:00,2.6,3121,4,3,2,108,108,2010,Yarra,-37.8129,145.0013,1212500
Richmond,5/10 Elaine Ct,2,u,S,Jellis,27/11/2016 0:00,2.6,3121,2,2,2,0,106,2000,Yarra,-37.8128,145.0139,807000
Richmond,31/15 River Bvd,2,u,S,Biggin,22/05/2016 0:00,2.6,3121,2,2,1,0,104,2000,Yarra,-37.8128,145.0133,750000
Hawthorn,3/1 Elm St,1,u,VB,Jellis,13/08/2016 0:00,4.6,3122,1,1,1,0,50,1940,Boroondara,-37.8128,145.0171,480000
Melbourne,1615/250 Elizabeth St,1,u,S,Dingle,10/09/2016 0:00,2.8,3000,1,1,0,0,64,1976,Melbourne,-37.8127,144.9627,386000
Richmond,412/10 Burnley St,1,u,SP,Biggin,04/03/2017 0:00,2.6,3121,1,1,1,8223,57,2012,Yarra,-37.8127,145.0094,421000
East Melbourne,203/140 Gipps St,2,u,SP,Nelson,16/07/2016 0:00,1.5,3002,2,2,2,0,150,2010,Melbourne,-37.8127,144.9847,1935000
Richmond,106/28 Burnley St,1,u,PI,Collins,15/10/2016 0:00,2.6,3121,1,1,1,0,44,2012,Yarra,-37.8127,145.0094,380000
Richmond,305/28 Burnley St,1,u,S,Biggin,07/11/2016 0:00,2.6,3121,1,1,1,0,43,2012,Yarra,-37.8127,145.0094,327000
Richmond,406/20 Burnley St,1,u,PI,Ray,08/10/2016 0:00,2.6,3121,1,1,1,8223,45,2012,Yarra,-37.8127,145.0094,345000
Richmond,29 Bennett St,3,h,S,Jellis,16/04/2016 0:00,2.6,3121,3,3,2,168,120,1915,Yarra,-37.8126,145.0064,1088000
Richmond,41 Shelley St,3,h,S,Biggin,12/11/2016 0:00,2.6,3121,3,2,2,233,170,1993,Yarra,-37.8122,144.9937,1465000
Richmond,7/42 Baker St,2,u,SP,Caine,13/08/2016 0:00,2.6,3121,2,1,1,0,51,1965,Yarra,-37.812,145.0029,391000
Richmond,22 Garfield St,2,h,S,Biggin,10/12/2016 0:00,2.6,3121,2,1,1,117,75,1900,Yarra,-37.812,144.9939,990000
Kew,3 Oshaughnessy St,3,h,S,Abercromby's,14/05/2016 0:00,5.6,3101,4,2,2,591,190,1910,Boroondara,-37.812,145.0268,1905000
West Melbourne,19/33 Jeffcott St,3,u,S,MICM,30/07/2016 0:00,1.9,3003,2,1,1,0,81,1996,Melbourne,-37.8118,144.9526,601000
West Melbourne,108/33 Jeffcott St,3,u,PI,hockingstuart,07/05/2016 0:00,1.9,3003,3,2,1,0,100,1998,Melbourne,-37.8118,144.9526,660000
Richmond,35 Shelley St,2,h,S,Biggin,15/10/2016 0:00,2.6,3121,2,1,0,139,54,1920,Yarra,-37.8118,144.9937,905000
Richmond,13 McKay St,3,h,VB,Jellis,08/10/2016 0:00,2.6,3121,3,1,0,176,92,1900,Yarra,-37.8116,145.0042,1150000
Melbourne,308/16 Liverpool St,1,u,S,LITTLE,13/08/2016 0:00,2.8,3000,1,1,1,0,51,2005,Melbourne,-37.8111,144.9715,432000
Kew,31 Miller Gr,3,h,S,Walsh,10/12/2016 0:00,5.6,3101,3,1,2,782,175,1920,Boroondara,-37.8107,145.0219,2310000
Melbourne,715/300 Swanston St,2,u,S,Greg,18/03/2017 0:00,2.8,3000,1,1,1,0,68,2004,Melbourne,-37.8106,144.9646,483000
Melbourne,805/300 Swanston St,2,u,S,Purplebricks,07/11/2016 0:00,2.8,3000,2,1,1,0,80,2004,Melbourne,-37.8106,144.9646,665000
Richmond,24 Butler St,2,h,S,Biggin,03/09/2016 0:00,2.6,3121,2,1,1,125,103,1950,Yarra,-37.8106,144.994,937000
Kew,45 Stevenson St,4,h,S,Jellis,18/03/2017 0:00,5.6,3101,4,1,1,650,242,1930,Boroondara,-37.8098,145.022,2265000
Melbourne,2306/265 Exhibition St,2,u,SP,Galldon,04/06/2016 0:00,2.8,3000,2,2,1,0,85,1997,Melbourne,-37.8095,144.9691,780000
Melbourne,901/265 Exhibition St,3,u,S,Greg,15/10/2016 0:00,2.8,3000,3,2,1,0,122,1998,Melbourne,-37.8095,144.9691,750000
Melbourne,1003/265 Exhibition St,3,u,S,hockingstuart,28/05/2016 0:00,2.8,3000,2,2,1,0,89,1997,Melbourne,-37.8095,144.9691,760000
Abbotsford,5 Charles St,3,h,SP,Biggin,04/03/2017 0:00,2.5,3067,3,2,0,134,150,1900,Yarra,-37.8093,144.9944,1465000
West Melbourne,5/467 King St,2,u,S,Jellis,28/05/2016 0:00,1.9,3003,2,1,1,0,83,2002,Melbourne,-37.8091,144.952,620000
Melbourne,3811/80 Abeckett St,2,u,VB,MICM,07/11/2016 0:00,2.8,3000,2,1,1,0,55,2014,Melbourne,-37.8091,144.9609,450000
Collingwood,110/3 Hoddle St,1,u,SP,Biggin,07/11/2016 0:00,1.6,3066,1,1,1,3701,62,2005,Yarra,-37.809,144.9911,415000
Collingwood,307/11 Hoddle St,1,u,SP,Woodards,08/10/2016 0:00,1.6,3066,1,1,1,0,65,2005,Yarra,-37.809,144.9911,372000
Abbotsford,16 William St,2,h,S,Jellis,15/10/2016 0:00,2.5,3067,2,1,2,238,97,1890,Yarra,-37.809,144.9976,1310000
Abbotsford,27 Charles St,2,h,S,Biggin,30/07/2016 0:00,2.5,3067,2,1,1,172,81,1930,Yarra,-37.8086,144.9946,1030000
Abbotsford,40 Nicholson St,3,h,VB,Nelson,12/11/2016 0:00,2.5,3067,3,2,2,214,190,2005,Yarra,-37.8085,144.9964,1350000
Collingwood,15/18 Islington St,3,t,SP,Nelson,04/03/2017 0:00,1.6,3066,3,2,2,0,151,2000,Yarra,-37.8083,144.9908,1125000
Kew,8 Merrion Pl,3,h,SP,Jellis,10/09/2016 0:00,5.6,3101,3,2,1,392,426,2015,Boroondara,-37.8081,145.0263,1878000
Abbotsford,49 Park St,2,h,S,Marshall,19/11/2016 0:00,2.5,3067,2,1,0,147,85,1900,Yarra,-37.808,144.994,1315000
Melbourne,1501/87 Franklin St,2,u,S,HAR,07/05/2016 0:00,2.8,3000,2,1,1,0,84,2001,Melbourne,-37.808,144.9617,535000
Abbotsford,25 Bloomburg St,2,h,S,Biggin,04/02/2016 0:00,2.5,3067,2,1,0,156,79,1900,Yarra,-37.8079,144.9934,1035000
Abbotsford,52a William St,2,h,PI,Biggin,18/06/2016 0:00,2.5,3067,2,2,1,124,135,2013,Yarra,-37.8079,144.9977,1100000
Abbotsford,123/56 Nicholson St,2,u,S,Biggin,12/11/2016 0:00,2.5,3067,2,2,1,0,94,2009,Yarra,-37.8078,144.9965,750000
Abbotsford,3/72 Charles St,4,h,PI,Kay,18/03/2017 0:00,2.5,3067,4,2,2,780,135,1900,Yarra,-37.8073,144.9952,1330000
Abbotsford,55a Park St,4,h,VB,Nelson,04/06/2016 0:00,2.5,3067,3,1,2,120,142,2014,Yarra,-37.8072,144.9941,1600000
Melbourne,1206/483 Swanston St,2,u,VB,Greg,19/11/2016 0:00,2.8,3000,1,1,1,4051,68,2005,Melbourne,-37.8072,144.9623,520000
Kew,4/35 Studley Park Rd,2,u,PI,Nelson,13/08/2016 0:00,5.6,3101,2,1,1,0,90,1970,Boroondara,-37.8071,145.0243,580000
Kew,4/76 Studley Park Rd,3,u,S,Marshall,04/06/2016 0:00,5.6,3101,3,2,2,0,141,1950,Boroondara,-37.8064,145.0182,882000
Kew,2/78 Studley Park Rd,3,u,S,Marshall,25/02/2017 0:00,5.6,3101,3,2,2,140,121,1980,Boroondara,-37.8063,145.0179,955000
Abbotsford,98 Charles St,2,h,S,Nelson,08/10/2016 0:00,2.5,3067,2,1,2,256,107,1890,Yarra,-37.806,144.9954,1636000
Abbotsford,42 Henry St,3,h,S,Jellis,16/07/2016 0:00,2.5,3067,3,2,1,113,110,1880,Yarra,-37.8056,144.993,1200000
Abbotsford,11/205 Gipps St,1,u,S,Nelson,26/07/2016 0:00,2.5,3067,1,1,1,0,50,2013,Yarra,-37.8055,144.9961,470000
Fitzroy,8/98 George St,1,u,S,Caine,25/02/2017 0:00,1.6,3065,1,1,1,782,42,1975,Yarra,-37.8055,144.9809,420000
North Melbourne,306/350 Victoria St,2,u,SP,Alexkarbon,24/09/2016 0:00,2.3,3051,2,1,1,0,75,2002,Melbourne,-37.8055,144.9547,630000
Carlton,8/31 Bouverie St,3,u,PI,Woodards,04/06/2016 0:00,1.8,3053,2,2,1,0,109,1994,Melbourne,-37.8052,144.9604,860000
Fitzroy,52 Nicholson St,4,h,S,Caine,13/08/2016 0:00,1.6,3065,4,4,2,337,291,1854,Yarra,-37.8052,144.9739,3310000
Carlton,83 Cardigan St,2,h,SP,Jellis,08/10/2016 0:00,1.8,3053,2,1,0,66,81,1900,Melbourne,-37.8049,144.9644,840000
Collingwood,12/120 Cambridge St,2,u,S,Nelson,28/05/2016 0:00,1.6,3066,4,1,3,0,2,1890,Yarra,-37.8046,144.9858,1645000
Collingwood,5/61 Little Oxford St,2,u,S,Jellis,24/09/2016 0:00,1.6,3066,2,1,1,0,60,2002,Yarra,-37.8046,144.984,672000
North Melbourne,115/150 Peel St,2,u,VB,W.B.,07/11/2016 0:00,2.3,3051,2,1,1,0,57,2006,Melbourne,-37.8044,144.9566,470000
North Melbourne,203/150 Peel St,2,u,S,Alexkarbon,27/11/2016 0:00,2.3,3051,2,1,1,0,85,2005,Melbourne,-37.8044,144.9566,598000
Collingwood,8/79 Oxford St,3,u,S,Jellis,22/08/2016 0:00,1.6,3066,2,2,2,0,159,1920,Yarra,-37.8042,144.9845,1500000
Collingwood,10/79 Oxford St,2,u,S,Jellis,03/09/2016 0:00,1.6,3066,2,1,1,0,129,1900,Yarra,-37.8042,144.9845,1260000
Collingwood,2/79 Oxford St,2,u,S,Nelson,03/09/2016 0:00,1.6,3066,2,1,1,2886,122,1830,Yarra,-37.8042,144.9845,855000
Collingwood,1/79 Oxford St,2,h,S,Jellis,11/02/2017 0:00,1.6,3066,2,2,1,0,153,1920,Yarra,-37.8042,144.9845,1230000
Collingwood,6/78 Oxford St,2,u,S,Jellis,04/03/2017 0:00,1.6,3066,2,1,1,0,97,1880,Yarra,-37.8035,144.985,910000
Collingwood,29/78 Oxford St,2,u,PI,Jellis,30/07/2016 0:00,1.6,3066,2,2,1,0,114,1920,Yarra,-37.8035,144.985,860000
Collingwood,10/76 Oxford St,2,u,S,Biggin,17/09/2016 0:00,1.6,3066,2,1,1,0,92,1900,Yarra,-37.8035,144.985,683000
Collingwood,5/77 Little Oxford St,3,u,S,Nelson,08/10/2016 0:00,1.6,3066,3,2,1,0,190,2013,Yarra,-37.8032,144.9842,1326000
Fitzroy,3/18 Hanover St,3,h,S,Nelson,03/09/2016 0:00,1.6,3065,3,2,2,0,137,2004,Yarra,-37.8029,144.975,1252000
Kew,15 Barry St,6,h,S,Jellis,13/08/2016 0:00,5.6,3101,6,6,3,1334,365,1890,Boroondara,-37.8029,145.0267,6500000
Collingwood,8/115 Oxford St,2,u,VB,Nelson,25/02/2017 0:00,1.6,3066,2,1,1,0,91,1900,Yarra,-37.8026,144.9848,800000
Abbotsford,124 Yarra St,3,h,S,Nelson,07/05/2016 0:00,2.5,3067,4,2,0,245,210,1910,Yarra,-37.8024,144.9993,1876000
Fitzroy,6/226 Moor St,2,u,VB,hockingstuart,27/06/2016 0:00,1.6,3065,2,1,1,0,70,2007,Yarra,-37.8024,144.9835,630000
Abbotsford,45 Yarra St,3,h,SP,Jellis,27/11/2016 0:00,2.5,3067,3,2,1,120,128,1998,Yarra,-37.8022,144.9954,1195000
Abbotsford,200 Nicholson St,2,h,S,Nelson,28/05/2016 0:00,2.5,3067,2,1,0,182,82,1900,Yarra,-37.8021,144.9976,1012500
Abbotsford,78 Yarra St,3,h,S,LITTLE,16/07/2016 0:00,2.5,3067,2,1,1,138,105,1890,Yarra,-37.8021,144.9965,1176500
North Melbourne,103/25 Byron St,1,u,SP,Jellis,16/07/2016 0:00,2.3,3051,1,1,1,0,60,2012,Melbourne,-37.802,144.9516,450000
North Melbourne,12/25 Byron St,1,u,VB,Jellis,07/11/2016 0:00,2.3,3051,1,1,1,1045,55,2011,Melbourne,-37.802,144.9516,410000
Collingwood,9/22 Stanley St,1,u,SP,Jellis,04/03/2017 0:00,1.6,3066,1,1,1,816,53,2000,Yarra,-37.802,144.9848,452000
Fitzroy,199 Moor St,1,h,S,Nelson,07/11/2016 0:00,1.6,3065,1,1,0,87,66,1980,Yarra,-37.8019,144.9821,947500
Abbotsford,48 Abbotsford St,3,h,PI,Nelson,22/08/2016 0:00,2.5,3067,3,3,1,166,174,2012,Yarra,-37.8017,145.0001,1447500
North Melbourne,44 Byron St,2,h,S,Nelson,15/10/2016 0:00,2.3,3051,2,2,1,584,120,2008,Melbourne,-37.8016,144.9508,990000
Abbotsford,47 Studley St,2,h,S,Jellis,27/11/2016 0:00,2.5,3067,2,1,0,162,91,1900,Yarra,-37.8016,144.9956,1180000
Abbotsford,6/219 Nicholson St,2,u,S,Collins,18/06/2016 0:00,2.5,3067,2,1,1,0,60,1970,Yarra,-37.8015,144.9972,500000
North Melbourne,4/175 Chetwynd St,2,u,S,W.B.,10/12/2016 0:00,2.3,3051,2,2,1,0,98,1998,Melbourne,-37.8015,144.9526,720000
North Melbourne,16 Scotia St,3,h,S,Nelson,10/12/2016 0:00,2.3,3051,3,2,1,97,139,2011,Melbourne,-37.8014,144.949,1325000
Abbotsford,42 Valiant St,2,h,S,Biggin,17/09/2016 0:00,2.5,3067,2,1,1,150,73,1985,Yarra,-37.8011,145.0004,890000
Abbotsford,10 Valiant St,2,h,S,Biggin,08/10/2016 0:00,2.5,3067,3,1,2,220,75,1900,Yarra,-37.801,144.9989,1097000
Carlton,176 Cardigan St,4,h,S,Ascend,14/05/2016 0:00,1.8,3053,4,2,0,132,195,1890,Melbourne,-37.801,144.9656,1630100
Carlton,111/101 Grattan St,2,u,S,Nelson,07/05/2016 0:00,1.8,3053,2,1,1,0,72,1994,Melbourne,-37.8009,144.9662,610250
Abbotsford,60 Stafford St,3,h,S,Biggin,25/02/2017 0:00,2.5,3067,3,1,1,168,124,1950,Yarra,-37.8007,144.9958,1290000
Kew,61 Molesworth St,3,h,VB,Jellis,22/08/2016 0:00,5.6,3101,3,2,3,1353,282,1960,Boroondara,-37.8006,145.0218,3650000
Fitzroy,291 George St,2,h,PI,Nelson,12/11/2016 0:00,1.6,3065,2,1,0,0,105,1890,Yarra,-37.8006,144.9814,1460000
Fitzroy,10/5 St David St,3,u,VB,Nelson,22/05/2016 0:00,1.6,3065,3,2,1,2782,115,2000,Yarra,-37.8005,144.9787,850000
Abbotsford,159 Park St,2,h,S,Nelson,22/08/2016 0:00,2.5,3067,2,2,2,98,128,1920,Yarra,-37.8005,144.9952,1135000
Fitzroy,60 Bell St,4,h,S,Nelson,22/05/2016 0:00,1.6,3065,3,2,1,132,165,1880,Yarra,-37.8004,144.9768,1620000
North Melbourne,509/30 Wreckyn St,2,u,S,LITTLE,19/11/2016 0:00,2.3,3051,2,1,2,0,69,2004,Melbourne,-37.8004,144.9544,620000
North Melbourne,107/33 Wreckyn St,1,u,SP,Jellis,10/12/2016 0:00,2.3,3051,1,1,1,0,52,2003,Melbourne,-37.8,144.9542,368000
Fitzroy,17 Bell St,4,h,S,Nelson,27/11/2016 0:00,1.6,3065,4,3,2,286,275,1890,Yarra,-37.7999,144.9755,4011000
Fitzroy,31 Bell St,4,h,S,Nelson,18/06/2016 0:00,1.6,3065,4,1,0,177,152,1890,Yarra,-37.7999,144.9759,1950000
Carlton,27 Faraday St,2,h,S,Woodards,28/08/2016 0:00,1.8,3053,2,1,0,128,92,1890,Melbourne,-37.7996,144.9737,1117000
Kew,2/37 Wills St,3,t,PI,Jellis,19/11/2016 0:00,5.6,3101,3,2,2,205,184,1995,Boroondara,-37.7993,145.0267,1330000
Carlton,100 Faraday St,2,h,S,Jellis,18/03/2017 0:00,1.8,3053,2,1,0,101,60,1880,Melbourne,-37.7989,144.9713,1010000
North Melbourne,8 Haines St,3,h,S,W.B.,04/03/2017 0:00,2.3,3051,3,1,0,83,129,1980,Melbourne,-37.7987,144.9497,1340000
Carlton,30/188 Faraday St,2,u,S,Nelson,28/05/2016 0:00,1.8,3053,2,1,1,0,63,1999,Melbourne,-37.7986,144.9682,589000
Collingwood,82 Sackville St,2,h,S,Jellis,14/05/2016 0:00,1.6,3066,3,1,1,282,112,1920,Yarra,-37.7985,144.9883,1265000
Carlton,34 Barkly St,2,h,S,Nelson,18/06/2016 0:00,1.8,3053,2,1,1,144,81,1890,Melbourne,-37.7984,144.9738,1170000
Carlton,254 Faraday St,3,h,SP,Woodards,07/05/2016 0:00,1.8,3053,2,2,2,100,106,1900,Melbourne,-37.7983,144.9655,1590000
North Melbourne,3 Murphy St,3,h,S,Jellis,17/09/2016 0:00,2.3,3051,2,1,0,232,93,1930,Melbourne,-37.7977,144.9512,1470000
Fitzroy,113/300 Young St,1,u,SP,Jellis,19/11/2016 0:00,1.6,3065,1,1,1,0,52,2011,Yarra,-37.7974,144.9799,465000
Collingwood,130 Keele St,2,h,S,LITTLE,03/09/2016 0:00,1.6,3066,2,1,1,178,70,1900,Yarra,-37.7974,144.9915,890000
Carlton,205/37 Palmerston St,2,u,PI,Woodards,22/05/2016 0:00,1.8,3053,2,2,1,0,67,2013,Melbourne,-37.7969,144.9742,600000
Carlton,8/220 Elgin St,2,u,S,Harrington,12/11/2016 0:00,1.8,3053,2,1,1,0,70,2000,Melbourne,-37.7969,144.9669,705000
Fitzroy,84 Kerr St,2,h,S,Nelson,22/08/2016 0:00,1.6,3065,2,1,0,106,101,1890,Yarra,-37.7968,144.9781,1122000
Fitzroy,101/416 Gore St,2,u,S,Nelson,26/07/2016 0:00,1.6,3065,2,1,1,0,74,1900,Yarra,-37.7967,144.9836,715000
Carlton,130 Rathdowne St,4,h,S,Woodards,25/02/2017 0:00,1.8,3053,4,1,0,152,139,1890,Melbourne,-37.7966,144.9709,1616000
Fitzroy,431 George St,3,h,PI,Nelson,17/09/2016 0:00,1.6,3065,3,1,1,113,105,1890,Yarra,-37.7966,144.9821,1250000
Collingwood,6 Forest St,2,h,S,Jellis,17/09/2016 0:00,1.6,3066,2,1,0,188,107,1900,Yarra,-37.7964,144.9923,981000
Collingwood,5 Charlotte St,2,h,SP,Peter,19/11/2016 0:00,1.6,3066,2,1,2,159,86,1880,Yarra,-37.7962,144.9887,1000000
Collingwood,2/60 Budd St,3,t,S,Peter,22/05/2016 0:00,1.6,3066,3,2,1,81,82,2000,Yarra,-37.7961,144.9874,887500
Collingwood,1/60 Budd St,3,t,S,Jellis,14/05/2016 0:00,1.6,3066,3,2,1,82,82,1995,Yarra,-37.7961,144.9873,897500
Collingwood,2/13 Alexander St,1,u,S,Woodards,16/07/2016 0:00,1.6,3066,1,1,1,0,44,1970,Yarra,-37.796,144.9911,366000
Collingwood,4/13 Alexander St,1,u,S,Jellis,13/08/2016 0:00,1.6,3066,1,1,1,406,49,1970,Yarra,-37.796,144.9911,457000
Fitzroy,116 Leicester St,2,h,VB,Harrington,27/06/2016 0:00,1.6,3065,2,2,1,64,138,1995,Yarra,-37.7956,144.9804,800000
North Melbourne,103/171 Flemington Rd,1,u,S,W.B.,27/11/2016 0:00,2.3,3051,1,1,1,0,45,1975,Melbourne,-37.7955,144.9492,320000
North Melbourne,110/171 Flemington Rd,2,u,SP,Jellis,07/11/2016 0:00,2.3,3051,2,1,2,0,54,1975,Melbourne,-37.7955,144.9492,550000
Collingwood,10/30 Mater St,2,u,S,Jellis,22/08/2016 0:00,1.6,3066,2,2,1,1060,88,2010,Yarra,-37.7954,144.9868,713500
Collingwood,382 Wellington St,2,h,S,Jellis,12/11/2016 0:00,1.6,3066,2,1,0,130,80,1890,Yarra,-37.7953,144.9882,855000
